pantone_name;rgb_r;rgb_g;rgb_b;rgb;hex;cmyk_c;cmyk_m;cmyk_y;cmyk_k
2627;40;0;176;40,0,176;#2800B0;77;100;0;31
263;230;219;255;230,219,255;#E6DBFF;10;14;0;0
2635;184;186;255;184,186,255;#B8BAFF;28;27;0;0
264;189;184;255;189,184,255;#BDB8FF;26;28;0;0
2645;153;163;255;153,163,255;#99A3FF;40;36;0;0
265;117;112;255;117,112,255;#7570FF;54;56;0;0
2655;117;130;255;117,130,255;#7582FF;54;49;0;0
266;54;26;255;54,26,255;#361AFF;79;90;0;0
2665;97;102;255;97,102,255;#6166FF;62;60;0;0
Violet;5;0;255;5,0,255;#0500FF;98;100;0;0
267;28;0;255;28,0,255;#1C00FF;89;100;0;0
268;40;0;224;40,0,224;#2800E0;82;100;0;12
2685;9;0;230;9,0,230;#0900E6;96;100;0;10
269;38;0;171;38,0,171;#2600AB;78;100;0;33
2695;12;0;130;12,0,130;#0C0082;91;100;0;49
270;176;186;255;176,186,255;#B0BAFF;31;27;0;0
2705;153;179;255;153,179,255;#99B3FF;40;30;0;0
2706;207;232;255;207,232,255;#CFE8FF;19;9;0;0
2707;212;240;255;212,240,255;#D4F0FF;17;6;0;0
2708;189;230;255;189,230,255;#BDE6FF;26;10;0;0
271;145;161;255;145,161,255;#91A1FF;43;37;0;0
2715;110;140;255;110,140,255;#6E8CFF;57;45;0;0
2716;140;181;255;140,181,255;#8CB5FF;45;29;0;0
2717;181;224;255;181,224,255;#B5E0FF;29;12;0;0
2718;84;150;255;84,150,255;#5496FF;67;41;0;0
272;107;133;255;107,133,255;#6B85FF;58;48;0;0
2725;59;82;255;59,82,255;#3B52FF;77;68;0;0
2726;54;87;255;54,87,255;#3657FF;79;66;0;0
2727;74;148;255;74,148,255;#4A94FF;71;42;0;0
Blue 072;0;29;242;0,29,242;#001DF2;100;88;0;5
2728;10;79;255;10,79,255;#0A4FFF;96;69;0;0
273;0;9;235;0,9,235;#0009EB;100;96;0;8
2735;0;13;255;0,13,255;#000DFF;100;95;0;0
2736;0;23;255;0,23,255;#0017FF;100;91;0;0
2738;0;32;250;0,32,250;#0020FA;100;87;0;2
274;0;0;184;0,0,184;#0000B8;100;100;0;28
2745;0;11;217;0,11,217;#000BD9;100;95;0;15
2746;0;18;230;0,18,230;#0012E6;100;92;0;10
2747;0;30;217;0,30,217;#001ED9;100;86;0;15
2748;0;26;217;0,26,217;#001AD9;100;88;0;15
275;3;0;145;3,0,145;#030091;98;100;0;43
2755;0;5;179;0,5,179;#0005B3;100;97;0;30
2756;0;11;181;0,11,181;#000BB5;100;94;0;29
2757;0;32;179;0,32,179;#0020B3;100;82;0;30
2758;0;38;189;0,38,189;#0026BD;100;80;0;26
276;2;0;115;2,0,115;#020073;98;100;0;55
2765;0;4;140;0,4,140;#00048C;100;97;0;45
2766;0;8;135;0,8,135;#000887;100;94;0;47
2767;0;26;117;0,26,117;#001A75;100;78;0;54
2768;0;31;143;0,31,143;#001F8F;100;78;0;44
277;186;237;255;186,237,255;#BAEDFF;27;7;0;0
278;156;219;255;156,219,255;#9CDBFF;39;14;0;0
279;82;168;255;82,168,255;#52A8FF;68;34;0;0
Reflex Blue;0;67;250;0,67,250;#0043FA;100;73;0;2
280;0;59;209;0,59,209;#003BD1;100;72;0;18
281;0;49;173;0,49,173;#0031AD;100;72;0;32
282;0;38;117;0,38,117;#002675;100;68;0;54
283;166;232;255;166,232,255;#A6E8FF;35;9;0;0
284;115;207;255;115,207,255;#73CFFF;55;19;0;0
285;28;145;255;28,145,255;#1C91FF;89;43;0;0
286;0;85;250;0,85,250;#0055FA;100;66;0;2
287;0;72;224;0,72,224;#0048E0;100;68;0;12
288;0;65;196;0,65,196;#0041C4;100;67;0;23
289;0;36;107;0,36,107;#00246B;100;66;0;58
290;191;250;255;191,250,255;#BFFAFF;25;2;0;0
2905;150;250;255;150,250,255;#96FAFF;41;2;0;0
291;171;247;255;171,247,255;#ABF7FF;33;3;0;0
2915;105;237;255;105,237,255;#69EDFF;59;7;0;0
292;130;227;255;130,227,255;#82E3FF;49;11;0;0
2925;38;194;255;38,194,255;#26C2FF;85;24;0;0
293;0;107;250;0,107,250;#006BFA;100;57;0;2
2935;0;138;255;0,138,255;#008AFF;100;46;0;0
294;0;85;201;0,85,201;#0055C9;100;58;0;21
2945;0;121;219;0,121,219;#0079DB;100;45;0;14
295;0;69;161;0,69,161;#0045A1;100;57;0;37
2955;0;88;161;0,88,161;#0058A1;100;45;0;37
296;0;41;77;0,41,77;#00294D;100;46;0;70
2965;0;57;92;0,57,92;#00395C;100;38;0;64
297;130;252;255;130,252,255;#82FCFF;49;1;0;0
2975;179;255;242;179,255,242;#B3FFF2;30;0;5;0
298;79;237;255;79,237,255;#4FEDFF;69;7;0;0
2985;105;255;240;105,255,240;#69FFF0;59;0;6;0
299;38;207;255;38,207,255;#26CFFF;85;19;0;0
2995;26;227;255;26,227,255;#1AE3FF;90;11;0;0
300;0;143;255;0,143,255;#008FFF;100;44;0;0
3005;0;160;250;0,160,250;#00A0FA;100;36;0;2
301;0;115;209;0,115,209;#0073D1;100;45;0;18
3015;0;137;204;0,137,204;#0089CC;100;33;0;20
302;0;96;128;0,96,128;#006080;100;25;0;50
3025;0;104;125;0,104,125;#00687D;100;17;0;51
303;0;59;66;0,59,66;#003B42;100;11;0;74
3035;0;71;68;0,71,68;#004744;100;0;5;72
304;179;255;235;179,255,235;#B3FFEB;30;0;8;0
305;125;255;232;125,255,232;#7DFFE8;51;0;9;0
306;64;255;237;64,255,237;#40FFED;75;0;7;0
Process Blue;0;207;230;0,207,230;#00CFE6;100;10;0;10
307;0;156;186;0,156,186;#009CBA;100;16;0;27
308;0;128;135;0,128,135;#008087;100;5;0;47
309;0;71;65;0,71,65;#004741;100;0;9;72
310;145;255;230;145,255,230;#91FFE6;43;0;10;0
3105;145;255;224;145,255,224;#91FFE0;43;0;12;0
311;94;255;224;94,255,224;#5EFFE0;63;0;12;0
3115;94;255;209;94,255,209;#5EFFD1;63;0;18;0
312;10;255;227;10,255,227;#0AFFE3;96;0;11;0
3125;43;255;201;43,255,201;#2BFFC9;83;0;21;0
313;0;222;204;0,222,204;#00DECC;100;0;8;13
3135;0;232;195;0,232,195;#00E8C3;100;0;16;9
314;0;179;162;0,179,162;#00B3A2;100;0;9;30
3145;0;196;159;0,196,159;#00C49F;100;0;19;23
315;0;145;128;0,145,128;#009180;100;0;12;43
3155;0;158;120;0,158,120;#009E78;100;0;24;38
316;0;82;60;0,82,60;#00523C;100;0;27;68
3165;0;89;64;0,89,64;#005940;100;0;28;65
317;209;255;235;209,255,235;#D1FFEB;18;0;8;0
318;158;255;217;158,255,217;#9EFFD9;38;0;15;0
319;122;255;207;122,255,207;#7AFFCF;52;0;19;0
320;0;237;164;0,237,164;#00EDA4;100;0;31;7
321;0;196;135;0,196,135;#00C487;100;0;31;23
322;0;166;111;0,166,111;#00A66F;100;0;33;35
323;0;135;84;0,135,84;#008754;100;0;38;47
324;184;255;224;184,255,224;#B8FFE0;28;0;12;0
3242;161;255;209;161,255,209;#A1FFD1;37;0;18;0
3245;168;255;207;168,255,207;#A8FFCF;34;0;19;0
3248;145;255;194;145,255,194;#91FFC2;43;0;24;0
325;112;255;189;112,255,189;#70FFBD;56;0;26;0
3252;135;255;194;135,255,194;#87FFC2;47;0;24;0
3255;130;255;184;130,255,184;#82FFB8;49;0;28;0
3258;105;255;171;105,255,171;#69FFAB;59;0;33;0
326;33;255;158;33,255,158;#21FF9E;87;0;38;0
3262;74;255;171;74,255,171;#4AFFAB;71;0;33;0
3265;79;255;161;79,255,161;#4FFFA1;69;0;37;0
3268;26;255;130;26,255,130;#1AFF82;90;0;49;0
327;0;212;119;0,212,119;#00D477;100;0;44;17
3272;0;255;143;0,255,143;#00FF8F;100;0;44;0
3275;13;255;135;13,255,135;#0DFF87;95;0;47;0
3278;0;242;109;0,242,109;#00F26D;100;0;55;5
328;0;173;95;0,173,95;#00AD5F;100;0;45;32
3282;0;217;117;0,217,117;#00D975;100;0;46;15
3285;0;237;119;0,237,119;#00ED77;100;0;50;7
3288;0;204;94;0,204,94;#00CC5E;100;0;54;20
329;0;138;74;0,138,74;#008A4A;100;0;46;46
3292;0;138;70;0,138,70;#008A46;100;0;49;46
3295;0;201;95;0,201,95;#00C95F;100;0;53;21
3298;0;148;64;0,148,64;#009440;100;0;57;42
330;0;102;53;0,102,53;#006635;100;0;48;60
3302;0;79;36;0,79,36;#004F24;100;0;54;69
3305;0;99;39;0,99,39;#006327;100;0;61;61
3308;0;71;29;0,71,29;#00471D;100;0;60;72
331;194;255;214;194,255,214;#C2FFD6;24;0;16;0
332;179;255;204;179,255,204;#B3FFCC;30;0;20;0
333;145;255;186;145,255,186;#91FFBA;43;0;27;0
Green;0;255;105;0,255,105;#00FF69;100;0;59;0
334;0;247;99;0,247,99;#00F763;100;0;60;3
335;0;179;62;0,179,62;#00B33E;100;0;65;30
336;0;135;45;0,135,45;#00872D;100;0;67;47
337;176;255;204;176,255,204;#B0FFCC;31;0;20;0
3375;166;255;191;166,255,191;#A6FFBF;35;0;25;0
338;135;255;173;135,255,173;#87FFAD;47;0;32;0
3385;140;255;171;140,255,171;#8CFFAB;45;0;33;0
339;41;255;112;41,255,112;#29FF70;84;0;56;0
3395;99;255;140;99,255,140;#63FF8C;61;0;45;0
340;0;232;79;0,232,79;#00E84F;100;0;66;9
3405;38;255;89;38,255,89;#26FF59;85;0;65;0
341;0;181;60;0,181,60;#00B53C;100;0;67;29
3415;0;199;46;0,199,46;#00C72E;100;0;77;22
342;0;145;42;0,145,42;#00912A;100;0;71;43
3425;0;148;33;0,148,33;#009421;100;0;78;42
343;2;99;28;2,99,28;#02631C;98;0;72;61
3435;0;87;16;0,87,16;#005710;100;0;81;66
344;186;255;196;186,255,196;#BAFFC4;27;0;23;0
345;158;255;173;158,255,173;#9EFFAD;38;0;32;0
346;115;255;135;115,255,135;#73FF87;55;0;47;0
347;0;247;35;0,247,35;#00F723;100;0;86;3
348;0;194;29;0,194,29;#00C21D;100;0;85;24
349;0;148;13;0,148,13;#00940D;100;0;91;42
350;13;64;0;13,64,0;#0D4000;79;0;100;75
351;212;255;214;212,255,214;#D4FFD6;17;0;16;0
352;186;255;191;186,255,191;#BAFFBF;27;0;25;0
353;158;255;163;158,255,163;#9EFFA3;38;0;36;0
354;51;255;26;51,255,26;#33FF1A;80;0;90;0
355;15;255;0;15,255,0;#0FFF00;94;0;100;0
356;9;186;0;9,186,0;#09BA00;95;0;100;27
357;22;112;0;22,112,0;#167000;80;0;100;56
358;186;255;158;186,255,158;#BAFF9E;27;0;38;0
359;163;255;130;163,255,130;#A3FF82;36;0;49;0
360;107;255;51;107,255,51;#6BFF33;58;0;80;0
361;79;255;0;79,255,0;#4FFF00;69;0;100;0
362;70;232;0;70,232,0;#46E800;70;0;100;9
363;62;194;0;62,194,0;#3EC200;68;0;100;24
364;52;148;0;52,148,0;#349400;65;0;100;42
365;224;255;181;224,255,181;#E0FFB5;12;0;29;0
366;204;255;143;204,255,143;#CCFF8F;20;0;44;0
367;173;255;105;173,255,105;#ADFF69;32;0;59;0
368;110;255;0;110,255,0;#6EFF00;57;0;100;0
369;97;237;0;97,237,0;#61ED00;59;0;100;7
370;82;186;0;82,186,0;#52BA00;56;0;100;27
371;64;112;0;64,112,0;#407000;43;0;100;56
372;230;255;171;230,255,171;#E6FFAB;10;0;33;0
373;214;255;138;214,255,138;#D6FF8A;16;0;46;0
